query_id,input_text,retrieved_indices,retrieved_scores,method,num_results,max_score,min_score,avg_score
0,다시는 결혼하고 싶지 않아요.,"[160, 163]","[82.0, 82.0]",method1_keyword_rule_based,2,82.0,82.0,82.0
1,에스컬레이터 손잡이를 잡아야 한다.,"[14, 79, 160, 161, 162, 163]","[101.0, 101.0, 77.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based,6,101.0,77.0,85.0
2,그는 가끔 가만가만히 생각하는 버릇이 있다.,"[60, 125, 160, 161, 162, 14, 79, 52, 117, 30, 95, 45, 110, 46, 111, 163]","[169.0, 169.0, 137.0, 137.0, 137.0, 99.0, 99.0, 94.0, 94.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based,16,169.0,82.0,106.8125
3,이 글은 사회적 약자들의 목소리에 주목했다는 점에서 이익이 있다.,"[160, 161, 162, 163, 5, 70, 14, 79, 17, 82, 59, 124]","[137.0, 137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 72.0, 72.0]",method1_keyword_rule_based,12,137.0,72.0,97.83333333333333
4,국가를 지도하는 이로서 조치를 취할 수밖에 없다.,"[46, 111, 163, 160, 149, 59, 124, 155]","[82.0, 82.0, 82.0, 82.0, 74.0, 74.0, 74.0, 74.0]",method1_keyword_rule_based,8,82.0,74.0,78.0
5,신청 대상(2021~2023년도) 가입자,"[14, 79, 46, 111, 163]","[82.0, 82.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based,5,82.0,77.0,79.0
6,이 제품은 공식 사이트에서만 구매할 수 있다.,"[160, 161, 162, 163, 5, 70, 14, 79]","[137.0, 137.0, 137.0, 137.0, 82.0, 82.0, 82.0, 82.0]",method1_keyword_rule_based,8,137.0,82.0,109.5
7,막내가 빈자떡을 둥글넓적하게 만들었다.,"[12, 77, 46, 111, 163]","[171.0, 171.0, 82.0, 82.0, 77.0]",method1_keyword_rule_based,5,171.0,77.0,116.6
8,점심으로는 짜장면 곱빼기를 먹었다.,"[145, 163]","[89.0, 77.0]",method1_keyword_rule_based,2,89.0,77.0,83.0
9,죽 한 사발을 먹었다.,"[5, 70, 10, 75, 20, 85, 31, 96, 163, 23, 88, 24, 89, 133, 14, 79, 22, 87]","[82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based,18,82.0,72.0,78.38888888888889
10,아이가 목걸이를 앓아서 말을 잘 못한다.,"[59, 124, 20, 85, 154, 160, 161, 162, 163, 7, 46, 72, 111]","[106.0, 106.0, 99.0, 99.0, 89.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based,13,106.0,77.0,87.3076923076923
11,오늘은 날도 춥지만 더우기 비까지 내린다.,"[45, 110, 13, 78, 160, 161, 162, 163, 14, 79, 39, 104, 42, 107, 149]","[137.0, 137.0, 99.0, 99.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 74.0]",method1_keyword_rule_based,15,137.0,74.0,91.06666666666666
12,생일에는 케이크에 초를 꽂고 소원을 빌어야 한다.,"[163, 14, 79, 10, 75, 20, 85, 160, 161, 162, 13, 78, 54, 119, 133]","[137.0, 82.0, 82.0, 82.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 72.0, 72.0, 72.0, 72.0, 72.0]",method1_keyword_rule_based,15,137.0,72.0,81.33333333333333
13,검경찰,"[31, 96, 14, 79, 149]","[82.0, 82.0, 77.0, 77.0, 72.0]",method1_keyword_rule_based,5,82.0,72.0,78.0
14,은주는 방에 들어가 문을 닫았다. 그리곤 한참 뒤에야 밖으로 나왔다.,"[27, 92, 30, 95, 163, 10, 75, 2, 67, 11, 76, 14, 79, 42, 107, 46, 111, 160]","[101.0, 101.0, 99.0, 99.0, 82.0, 82.0, 82.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0, 77.0]",method1_keyword_rule_based,18,101.0,77.0,82.94444444444444
